cluster_id,cluster_size,centroid_row_index,centroid_smiles
0,17,1407,CC1=C(C(=O)CC1OC(=O)[C@@H]2[C@H](C2(C)C)C=C(C)C)CC=C
1,16,519,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
2,15,25,CCNc1nc(NC(C)C)nc(SC)n1
3,14,1505,Cc1cc(Cl)ccc1OCC(O)=O
5,12,1504,CC(Oc1ccc(Cl)cc1Cl)C(O)=O
6,11,968,COc1nc(C)nc(NC(=O)N[S](=O)(=O)c2ccccc2C(O)=O)n1
8,10,1486,CC1(C(C1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
9,10,1222,CCO[P](=S)(OCC)Oc1cc(C)nc(n1)N(CC)CC
10,10,864,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
14,9,970,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1
11,9,1408,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C
12,9,1268,CC1=C(C(=CC=C1)C)N([C@H](C)C(=O)OC)C(=O)COC
17,8,757,C[C@H](C(=O)O)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
16,8,1141,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
18,8,261,CC(C)OC(=O)Nc1cccc(Cl)c1
4,8,1501,OC(=O)CCCOc1ccc(Cl)cc1Cl
19,7,1447,CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
22,7,1050,Clc1ccc(O[S](=O)(=O)c2ccc(Cl)cc2)cc1
23,7,1023,[O-][N+](=O)c1ccc(Oc2ccc(cc2Cl)C(F)(F)F)cc1
25,7,977,CNC(=O)Oc1ccccc1C(C)C
26,6,1521,CC(C)=CCNc1ncnc2nc[nH]c12
29,6,1464,CC(C)(C)[C@H](O)\C(=C/c1ccc(Cl)cc1)n2cncn2
35,6,1016,COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2ncccc2C(=O)N(C)C)n1
34,6,1115,CNC(=O)CS[P](=S)(OC)OC
33,6,1323,CNC(=O)N(C)C1=NN=C(S1)S(=O)(=O)N(C)C
32,6,1351,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2
31,6,1425,CCO[P](=S)(OCC)SCN1N=Nc2ccccc2C1=O
