name,cas,iupac_name,inchi_key,class,smiles,qed,has_heavy_metal,is_short_aliphatic,is_single_simple_aromatic_cycle,cluster_id,cluster_size,is_valid_smiles
abscisic%20acid,21293-29-8,"(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acidor(7E,9Z)-(6S)-6-hydroxy-3-oxo-11-apo-Îµ-caroten-11-oic acid",JLIDBLDQVAYHNE-YKALOCIXSA-N,plant growth regulators (growth inhibitor),CC(/C=C/[C@@]1(O)C(=CC(=O)CC1(C)C)C)=C/C(O)=O,0.6053323145467729,False,False,False,883,1,True
acetochlor,34256-82-1,2-chloro-N-(ethoxymethyl)-2â²-ethyl-6â²-methylacetanilide,VTNQPKFIQCLBDU-UHFFFAOYSA-N,herbicides (chloroacetamide),CCOCN(C(=O)CCl)c1c(C)cccc1CC,0.5865813805439714,False,False,False,42,6,True
plifenate,21757-82-4,"(1RS)-2,2,2-trichloro-1-(3,4-dichlorophenyl)ethyl acetate",FSGNOVKGEXRRHD-UHFFFAOYSA-N,insecticides (unclassified),CC(=O)OC(c1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,0.5630039856224435,False,False,False,110,3,True
acetoprole,209861-58-5,"1-[5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-(methylsulfinyl)-1H-pyrazol-3-yl]ethanone1979 Rules:1-[5-amino-1-(2,6-dichloro-Î±,Î±,Î±-trifluoro-p-tolyl)-4-(methylsulfinyl)-1H-pyrazol-3-yl]ethanone",GDZNYEZGJAFIKA-UHFFFAOYSA-N,acaricides (phenylpyrazole)insecticides (phenylpyrazole)nematicides (phenylpyrazole),CC(=O)C1=NN(C(=C1S(=O)C)N)C2=C(C=C(C=C2Cl)C(F)(F)F)Cl,0.7971846653359607,False,False,False,882,1,True
acibenzolar,126448-41-7,"1,2,3-benzothiadiazole-7-carbothioic S-acid1979 Rules:benzo[1,2,3]thiadiazole-7-carbothioic S-acid",CGIHPACLZJDCBQ-UHFFFAOYSA-N,fungicides (benzothiadiazole)plant activators,C1=CC(=C2C(=C1)N=NS2)C(=O)S,0.7066300656536361,False,False,False,146,3,True
acifluorfen,50594-66-6,"5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid1979 Rules:5-[(2-chloro-Î±,Î±,Î±-trifluoro-p-tolyl)oxy]-2-nitrobenzoic acid",NUFNQYOELLVIPL-UHFFFAOYSA-N,herbicides (diphenyl ether),OC(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O,0.6261588444326643,False,False,False,23,7,True
aclonifen,74070-46-5,2-chloro-6-nitro-3-phenoxyaniline,DDBMQDADIHOWIC-UHFFFAOYSA-N,herbicides (diphenyl ether),Nc1c(Cl)c(Oc2ccccc2)ccc1[N+]([O-])=O,0.5215690822787161,False,False,False,881,1,True
quinoclamine,2797-51-5,"2-amino-3-chloro-1,4-naphthoquinone",OBLNWSCLAYSJJR-UHFFFAOYSA-N,algicidesherbicides (quinone),NC1=C(Cl)C(=O)c2ccccc2C1=O,0.7010399727782283,False,False,False,75,4,True
acrep,,N-[(hexyloxy)methyl]hexano-6-lactam1979 rules:N-[(hexyloxy)methyl]-Îµ-caprolactam,IXCJFHRRPLTTSW-UHFFFAOYSA-N,insect repellents,CCCCCCOCN1CCCCCC1=O,0.6257853375624701,False,False,False,880,1,True
acypetacs,68937-75-7,"Reaction mixture of C8 to C10 linear and branched chain saturated aliphatic carboxylic acids, the branched chain acids being a mixture of approximately equal parts by mass of: (a) acids in which the main chain is dialkyl-substituted on the second carbon atom and (b) acids in which the second carbon atom is either unsubstituted or monoalkyl-substituted.  Both (a) and (b) acids may be further alkyl-substituted on the third or higher carbon atoms.",Failed,fungicides (unclassified),CCCCCCCCC(O)=O,0.5783198770575686,False,False,False,206,2,True
