method,run_dir,metric,value,count,proportion
LocalRetro_mcts,1_top_results,n_building_blocks,1,2,0.090909
LocalRetro_mcts,1_top_results,n_building_blocks,2,13,0.590909
LocalRetro_mcts,1_top_results,n_building_blocks,3,7,0.318182
LocalRetro_retro_star,1_top_results,n_building_blocks,1,2,0.100000
LocalRetro_retro_star,1_top_results,n_building_blocks,2,14,0.700000
LocalRetro_retro_star,1_top_results,n_building_blocks,3,4,0.200000
MEGAN_mcts,1_top_results,n_building_blocks,1,1,0.043478
MEGAN_mcts,1_top_results,n_building_blocks,2,14,0.608696
MEGAN_mcts,1_top_results,n_building_blocks,3,8,0.347826
MEGAN_retro_star,1_top_results,n_building_blocks,1,1,0.047619
MEGAN_retro_star,1_top_results,n_building_blocks,2,14,0.666667
MEGAN_retro_star,1_top_results,n_building_blocks,3,6,0.285714
Pistachio_MEGAN_mcts,1_top_results,n_building_blocks,1,2,0.064516
Pistachio_MEGAN_mcts,1_top_results,n_building_blocks,2,17,0.548387
Pistachio_MEGAN_mcts,1_top_results,n_building_blocks,3,10,0.322581
Pistachio_MEGAN_mcts,1_top_results,n_building_blocks,4,2,0.064516
Pistachio_MEGAN_retro_star,1_top_results,n_building_blocks,1,2,0.071429
Pistachio_MEGAN_retro_star,1_top_results,n_building_blocks,2,17,0.607143
Pistachio_MEGAN_retro_star,1_top_results,n_building_blocks,3,8,0.285714
Pistachio_MEGAN_retro_star,1_top_results,n_building_blocks,4,1,0.035714
RetroKNN_mcts,1_top_results,n_building_blocks,1,2,0.071429
RetroKNN_mcts,1_top_results,n_building_blocks,2,14,0.500000
RetroKNN_mcts,1_top_results,n_building_blocks,3,6,0.214286
RetroKNN_mcts,1_top_results,n_building_blocks,5,6,0.214286
RetroKNN_retro_star,1_top_results,n_building_blocks,1,2,0.090909
RetroKNN_retro_star,1_top_results,n_building_blocks,2,14,0.636364
RetroKNN_retro_star,1_top_results,n_building_blocks,3,5,0.227273
RetroKNN_retro_star,1_top_results,n_building_blocks,5,1,0.045455
