method,run_dir,metric,value,count,proportion
LocalRetro_mcts,1_top_results,route_length,1,10,0.454545
LocalRetro_mcts,1_top_results,route_length,2,5,0.227273
LocalRetro_mcts,1_top_results,route_length,3,5,0.227273
LocalRetro_mcts,1_top_results,route_length,4,2,0.090909
LocalRetro_retro_star,1_top_results,route_length,1,11,0.550000
LocalRetro_retro_star,1_top_results,route_length,2,6,0.300000
LocalRetro_retro_star,1_top_results,route_length,3,3,0.150000
MEGAN_mcts,1_top_results,route_length,1,10,0.434783
MEGAN_mcts,1_top_results,route_length,2,6,0.260870
MEGAN_mcts,1_top_results,route_length,3,3,0.130435
MEGAN_mcts,1_top_results,route_length,4,1,0.043478
MEGAN_mcts,1_top_results,route_length,5,2,0.086957
MEGAN_mcts,1_top_results,route_length,7,1,0.043478
MEGAN_retro_star,1_top_results,route_length,1,10,0.476190
MEGAN_retro_star,1_top_results,route_length,2,6,0.285714
MEGAN_retro_star,1_top_results,route_length,3,3,0.142857
MEGAN_retro_star,1_top_results,route_length,4,1,0.047619
MEGAN_retro_star,1_top_results,route_length,5,1,0.047619
Pistachio_MEGAN_mcts,1_top_results,route_length,1,15,0.483871
Pistachio_MEGAN_mcts,1_top_results,route_length,2,6,0.193548
Pistachio_MEGAN_mcts,1_top_results,route_length,3,8,0.258065
Pistachio_MEGAN_mcts,1_top_results,route_length,5,1,0.032258
Pistachio_MEGAN_mcts,1_top_results,route_length,6,1,0.032258
Pistachio_MEGAN_retro_star,1_top_results,route_length,1,15,0.535714
Pistachio_MEGAN_retro_star,1_top_results,route_length,2,6,0.214286
Pistachio_MEGAN_retro_star,1_top_results,route_length,3,6,0.214286
Pistachio_MEGAN_retro_star,1_top_results,route_length,5,1,0.035714
RetroKNN_mcts,1_top_results,route_length,1,9,0.321429
RetroKNN_mcts,1_top_results,route_length,2,6,0.214286
RetroKNN_mcts,1_top_results,route_length,3,6,0.214286
RetroKNN_mcts,1_top_results,route_length,5,2,0.071429
RetroKNN_mcts,1_top_results,route_length,8,5,0.178571
RetroKNN_retro_star,1_top_results,route_length,1,9,0.409091
RetroKNN_retro_star,1_top_results,route_length,2,5,0.227273
RetroKNN_retro_star,1_top_results,route_length,3,5,0.227273
RetroKNN_retro_star,1_top_results,route_length,5,2,0.090909
RetroKNN_retro_star,1_top_results,route_length,6,1,0.045455
